,Crimes Reported,Crimes Reported,Crimes Reported,Crimes Reported
Year,2012,2013,2014,2015
Community Area,,,,
0.0,6,3,2,2
1.0,4925,4433,3803,3590
2.0,4030,3810,3413,3109
3.0,4976,4289,3815,3662
4.0,2338,2218,1898,1770
5.0,1920,1723,1541,1395
6.0,7696,6823,5698,5590
7.0,5010,4480,4088,3764
8.0,11288,10115,8992,9074
9.0,323,299,243,258
10.0,1465,1230,1253,1277
11.0,1410,1336,1230,1157
12.0,601,443,461,450
13.0,1082,917,873,843
14.0,2945,2691,2403,2535
15.0,4160,3975,3390,3451
16.0,3939,3491,2851,3019
17.0,1930,1831,1569,1661
18.0,781,634,525,587
19.0,6368,5709,4970,4839
20.0,2053,1967,1792,1732
21.0,3276,2674,2370,2263
22.0,6797,5857,5101,4805
23.0,11215,10257,9226,8195
24.0,9687,8212,7343,7079
25.0,21353,20243,18791,17376
26.0,6675,6677,6219,6027
27.0,6189,6280,5809,5446
28.0,9417,8510,7900,7946
29.0,10390,9796,8712,8403
30.0,5781,5108,4769,4451
31.0,3295,3078,2709,2528
32.0,7775,7789,7295,7592
33.0,1864,1812,1780,1883
34.0,1539,1293,1224,1083
35.0,2774,2788,2566,2523
36.0,771,713,643,632
37.0,1225,1077,931,842
38.0,4119,4000,3500,3150
39.0,1794,1594,1499,1370
40.0,3470,3373,2939,2766
41.0,1920,1668,1418,1515
42.0,5405,4750,4192,3751
43.0,11616,10590,9285,9094
44.0,7240,7155,6274,6038
45.0,1805,1642,1501,1390
46.0,6545,5830,5244,5085
47.0,536,471,402,389
48.0,1923,1615,1590,1484
49.0,9030,8158,7384,6636
50.0,1264,1149,1223,1048
51.0,2293,2186,2255,1922
52.0,1746,1502,1389,1316
53.0,5749,5154,4373,4011
54.0,1586,1493,1385,1188
55.0,740,717,626,517
56.0,2468,2112,1932,1853
57.0,1195,1201,1057,996
58.0,3192,2897,2912,2757
59.0,1339,1278,1058,1083
60.0,2167,1894,1802,1615
61.0,6815,6005,5264,4995
62.0,1368,1294,1016,1037
63.0,3242,2828,2625,2364
64.0,1278,1116,1000,938
65.0,2448,2255,2106,2054
66.0,8595,7295,6485,6219
67.0,9986,9017,7607,7531
68.0,9094,8200,7109,7244
69.0,8730,7734,6753,6772
70.0,2826,2816,2572,2315
71.0,9419,8585,7989,7841
72.0,1205,1022,903,990
73.0,3964,3909,3199,3164
74.0,707,626,670,618
75.0,2712,2494,2149,2085
76.0,1832,2133,2014,1746
77.0,3276,2715,2331,2257
